"id","title","body","name_of_faculty","research_area"
1,"Molecular Modeling of Elasticity.","In this project  the aim is to understand quantitatively the molecular elasticity of biopolymers with potential engineering applications.","P Sunthar","Statistical Themodynamics | Polymer Physics | Molecular Simulations | Biomolecular Engineering"
2,"Supercritical Fluid-based Nanoparticle Production.","A supercritical fluid (SCF) is a substance at temperature and pressure above its critical temperature and critical pressure.","Jhumpa Adhikari","Nanoparticles"
