id,title,body,author_name,created_time,updated_time,mtechpt_name_of_faculty
1,Analysis of speciation events.,How do new species form?Pre-requisites: Computing and coding experience  and a strong interest in biology.,ssaini,7 Jan 2019 - 21:02,7 Jan 2019 - 21:06,P Sunthar
2,Building classification models to predict antibiotic resistance phenotype,We will use genome sequence data for antibiotic resistant bacteria etc.,sarikam,7 Jan 2019 - 10:11,7 Jan 2019 - 10:13,Jhumpa Adhikari
